created_at,author,text
2022-11-20 12:40:03+00:00,dinopterodactly,"@vankaaa_a @samsungID #CeritaAwesomePertama aku pergi camping. Coba waktu itu udah pake Triple Camera Galaxy A04S @samsungID pasti hasil fotonya lebih jernih. 

Yuk ceritain first momentmu &amp; menangin Galaxy A04S dengan reply tweet ini pakai hastag #PastiAwesomeDuluan
#GalaxyA04s
#CeritaAwesomePertama https://t.co/BR7BppucE4"
2022-11-20 12:39:54+00:00,JuniKudoo,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 12:39:03+00:00,miko_thecatmask,@0nly_cats Aku malah cari yg suka camping
2022-11-20 12:38:16+00:00,twinZg0away,"@skillbrats yg biasa buat camping, apa si namany😭"
2022-11-20 12:28:35+00:00,urfvgurls,kpopies pada camping disini karna iri gak ada oppak nya WKAKAKA https://t.co/Yhd7yGPmlH
2022-11-20 12:25:51+00:00,idkwhoru95,"Keknya rada Salah kalo ikut camping, ngga Bisa liat temen https://t.co/830runGd3I"
2022-11-20 12:22:36+00:00,arezuwhist,Camping sama aku mau gak sayang https://t.co/YZjddc3TlN
2022-11-20 12:21:29+00:00,azyn_a,Sabtu pergi camping betul dah. Kawan dengan sungai.
2022-11-20 12:12:51+00:00,IniAlalalannn,RT @LombongShopee: Finally jumpa pon kipas utk bawa ke camping nih! Beshh giler time hari tengah terik panaih lit lit ni weihh 🔥🔥‼️ https:/…
2022-11-20 12:12:42+00:00,Muthia932,"@saviorL8514 @xolovelyody nah skrg case nya siapa disini yg duluan salty? kaum lu kan? kalo kaum lo ga salty, baca menfess bgtu mah udh skip aja gausah ""gak ahh""
tp apa? kaum lo kan sll camping di setiap postingan ttg bts. obses kalian ke idol gw udh mendarah daging ampe idolnya sendiri jd melempem 😌"
2022-11-20 12:11:17+00:00,icantbenice,"Setelah camping, gua membatalkan niat gua buat naik gunung, soalnya jalan ke curugnya aja disini naik turunnya udh buat pegel capek pgn teriak😭👍"
2022-11-20 12:09:11+00:00,afeezyunos,@zul_aiman91 Adoiii dah penghujung pon ada lagi camping ea man 🤦🏻‍♂️🤣
2022-11-20 11:58:46+00:00,macampoansa,Camping Doha. #QatarWorldCup2022 #Qatar2022 @CucchiRiccardo https://t.co/XxKR4fDVxG
2022-11-20 11:49:42+00:00,thezulfo,"@shaayusof Baik pergi camping ke, bercuti pulau ke, jalan-jalan cari makan ke."
2022-11-20 11:49:21+00:00,MYGeniustD,Kpopies pada camping disini soalnya iri oppaknya gak diajakin https://t.co/9OS7BKhuiY
2022-11-20 11:39:43+00:00,cookeatslept,@cometoomebby Camping mau ga
2022-11-20 11:35:13+00:00,icantbenice,"For the first time, aku camping!!!!
Seru bgt asli, capeknya dpt, pengalamannya dpt. 
Bikin tenda ga bisa-bisa sampe dibantuin sama tenda sebelah😭👍 https://t.co/5CTL81fAnb"
2022-11-20 11:31:32+00:00,fckoffmthrfcker,camping kali ini looting obat
2022-11-20 11:29:55+00:00,haisoob1,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:28:11+00:00,unigasusbagas,Camping sekantor cihuy https://t.co/EH7u6R3Kn1
2022-11-20 11:26:15+00:00,mesemsaben,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:22:51+00:00,_Gin4JD,"Dari awal panitia qatar tuh mau ngasih sensasi camping ala timur tengah gitu, kebiasaan orang qatar kaya gimana.
Masalahnya itu tenda tipis banget tapi mahal...
Kipasnya satu 😭

Ya pikir aja buat orang luar negeri yang dateng ke negeri orang itu gak sesuai sama ongkos. Kasian .."
2022-11-20 11:20:04+00:00,sajakcivinta,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:18:51+00:00,tumbxler,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:12:49+00:00,a3_promptbot,"PAIRING: Spring Troupe/Shu Otomiya/Juza Hyodo 
SUPPORTING CHARACTERS: Azami Izumida, Apollo Tenma
PROMPT: Horror, Camping"
2022-11-20 11:09:50+00:00,hype_avabrewok,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 11:04:14+00:00,grumpydut,@dhanikatrok katany kita mau camping gmn sih
2022-11-20 11:02:01+00:00,HoshinaMitsuki,#lovelive camping nama~ https://t.co/FfyevTOo2H
2022-11-20 10:57:53+00:00,vanteaxc,@cxldasfvck Camping nya sambil mam nasi goreng byyy 🤔🤔
2022-11-20 10:56:55+00:00,oemjae,RT @kdrama_menfess: •kdm• Hospital Playlist jadi salah satu project yg paling berkesan buat sender. Bayangin abis S1 kita dikasih byk konte…
2022-11-20 10:55:34+00:00,dadangsunsilk,@dhanikatrok Kapak kita camping sih
2022-11-20 10:53:31+00:00,izztlnajhh,ayah tanya bila lagi nak pergi camping…🫠🫠
